id;start_date;end_date;status;platform_hardware_info;description;owner_id
1;2019-09-30T02:00:30.358;2019-10-01T02:00:30.358;FAILED;markets Accountability EXE;Chair;1
2;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;IN_PROGRESS;navigate redefine;generating bypassing Bypass;1
3;2019-09-30T02:00:30.358;2019-10-01T02:00:30.358;READY;SMS;Zimbabwe parse Customer;2
4;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;FAILED;purple User-friendly;Savings Account;3
5;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;DONE;Kyrgyz Republic transmit;solution connecting;4
6;2019-09-30T02:00:30.358;2019-10-01T02:00:30.358;READY;Connecticut Burg;transmit Credit Card Account;3
7;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;UNKNOWN;Industrial seamless;withdrawal Jamaica;4
8;2019-09-30T02:00:30.358;2019-10-01T02:00:30.358;READY;middleware Switzerland;Data Granite Configuration;3
9;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;DONE;Berkshire concept;Illinois robust;4
10;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;READY;Pakistan Rupee;Chicken;3
