id;name;creation_date;simulation_mode;start_simulated_date;end_simulated_date;description;owner_id
1;Borders Borders Practical;2019-09-30T02:00:30.358;REPLAY;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;parse;1
2;neural Wooden Optimization;2019-09-30T02:00:30.358;REPLAY;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;EXE cross-media Frozen;1
3;Syrian Pound;2019-09-30T02:00:30.358;PLAY;2019-10-03T02:00:30.358;2019-10-01T02:00:30.358;Fantastic Fresh Salad;2
4;Steel Avon Visionary;2019-09-30T02:00:30.358;PLAY;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;Planner navigate repurpose;3
5;Buckinghamshire;2019-09-30T02:00:30.358;UNDEFINED;2019-10-01T02:00:30.358;2019-10-03T02:00:30.358;Bedfordshire Tools;4
6;Arizona hack;2019-10-01T02:00:30.358;UNDEFINED;2019-09-30T02:00:30.358;2019-10-03T02:00:30.358;Idaho Markets grow;3
7;Refined;2019-10-01T02:00:30.358;UNDEFINED;2019-09-30T02:00:30.358;2019-10-03T02:00:30.358;Designer Incredible Fresh Car Tuvalu;4
8;Senior Optional Yemeni Rial;2019-10-01T02:00:30.358;UNDEFINED;2019-09-30T02:00:30.358;2019-10-03T02:00:30.358;Credit Card Account Maryland Legacy;3
9;Product;2019-10-01T02:00:30.358;UNDEFINED;2019-09-30T02:00:30.358;2019-10-03T02:00:30.358;Junctions one-to-one;4
10;analyzing holistic;2019-10-01T02:00:30.358;UNDEFINED;2019-09-30T02:00:30.358;2019-10-03T02:00:30.358;Pound Sterling Keyboard;2
