id;relative_path_in_st;l_t_insertion_date;path_in_lt;owner_id;INPUT_TYPE;run_id
1;New Zealand Dollar Alabama transform;2019-09-30T02:00:30.358;Supervisor clear-thinking;1;CONFIG;
2;Nevada;2019-10-01T02:00:30.358;turn-key dedicated;1;INPUT;
3;Intelligent Frozen Sausages Villages;2019-10-01T02:00:30.358;PCI back up Factors;2;;1
4;Configuration UIC-Franc;2019-10-01T02:00:30.358;Intelligent;3;INPUT;
5;Sleek Beauty Auto Loan Account;2019-09-30T02:00:30.358;Handcrafted Cotton Bacon Unbranded Fresh Pants;4;CONFIG;
6;compress lavender Investment Account;2019-09-30T02:00:30.358;Intelligent Granite Shirt Peru deposit;3;;2
7;infomediaries Som Rustic Frozen Keyboard;2019-09-30T02:00:30.358;Optimized;4;CONFIG;
8;Incredible Fresh Chips;2019-09-30T02:00:30.358;Bridge;3;INPUT;
9;Checking Account;2019-09-30T02:00:30.358;Solutions COM;4;;3
10;Books Generic;2019-09-30T02:00:30.358;Handcrafted Plastic Shirt quantifying;3;INPUT;
